S,Time (tun 1),Time (run 2),Time (run 3),Time (run 4),Time (run 5),Average Time
1,4.7017629999973,4.634104100001423,4.579336899998452,4.497789799999737,4.596036400002049,4.601806
2,5.836200099998678,4.226085300000705,4.164688500000921,4.165031499996985,4.240591100002348,4.526519
3,10.890996599999198,4.224539099999674,4.185485099998914,4.100152699997125,4.138899099998525,5.508015
4,10.720507199999702,3.973883200000273,4.055614199998672,3.9235636000012164,4.049131900002976,5.34454
5,10.814237300000968,4.016205600000831,4.399311700002727,3.9517054999996617,4.038165300000401,5.443925
6,6.94119999999748,3.976921699999366,4.471167200001219,3.953841400001693,4.133725100000447,4.695371
7,3.837319499998557,3.9785351999998966,4.347714100000303,3.9077189000017825,3.9890981999997166,4.012077
8,3.8451175000009243,3.8825145000009798,4.362686700002087,3.8682680999991135,3.9063759000018763,3.972993
9,3.841941400001815,3.89891969999735,4.615311400000792,3.8443375999995624,3.955296799998905,4.031161
10,3.842412999998487,3.883680599999934,4.300514700000349,3.8912767000001622,4.009753999998793,3.985528
11,3.856388000000152,3.862495499997749,3.865349600000627,3.869533400000364,4.005796699999337,3.891913
12,3.9032035999989603,3.881091399998695,3.8437260999999125,3.8804764000014984,3.9556764000008116,3.892835
13,3.897541499998624,3.888569999999163,3.848846199998661,3.838111299999582,3.9407085999991978,3.882756
14,3.98817229999986,3.9140831000004255,3.862655900000391,3.8576850999997987,3.9324116999996477,3.911002
15,3.9399995999992825,3.947631499999261,4.022035300000425,3.905673100001877,3.9805144000019936,3.959171
16,3.9441963999997824,3.971004899998661,3.8468381999991834,3.9161720000010973,3.977036099997349,3.93105
17,4.16789499999868,3.952312699999311,3.81385180000143,3.9818100000011327,3.999053700001241,3.982985
18,4.173241600001347,3.9564393000000564,3.7747973000005004,3.995166700002301,4.032394200003182,3.986408
19,3.970596499999374,3.9516213000024436,3.8320615000011458,3.9939293999996153,3.9997911999998905,3.9496
20,3.995866199999,4.03924410000036,3.8264683000015793,3.932221999999456,4.04791639999894,3.968343
21,3.944450599999982,3.966248299999279,3.808421699999599,3.9272898999988683,3.9464846000009857,3.918579
22,3.970071100000496,3.944132799999352,3.7905705999983184,3.899065300000075,3.9989574999999604,3.920559
23,3.956372200002079,4.2745094999991124,3.8598167000018293,5.100058199997875,3.9826460000003863,4.234681
24,3.9608547999996517,3.9449630999988585,3.8060375999993994,11.148781299998518,4.009330000000773,5.373993
25,3.9726993999975093,3.982885699999315,3.8203319999993255,8.758850400001393,4.005647300000419,4.908083
26,3.9543569999987085,3.961283699998603,3.858947500000795,4.2109224000014365,4.0291907000028,4.00294
27,4.0448112999984005,3.9201895000005607,4.117082999997365,7.758415000000241,4.173304999996617,4.802761
28,3.9732178000012937,3.9399692000006326,4.410707999999431,10.951308299998345,4.244276000001264,5.503896
29,3.9527239999988524,3.9674119999981485,4.060790700001235,11.274138400000083,3.973039799999242,5.445621
30,4.123802300000534,4.117430099999183,4.016993000001094,9.334608500001195,4.133991099999548,5.145365
31,4.295561399998405,4.2805372000002535,4.579945800000132,12.506604800000787,4.3279958000021,5.998129
32,4.2958951000000525,4.2622784999985015,4.239305800001603,12.351140000002488,4.321213100000023,5.893967
33,4.340184699998645,4.268325999997614,4.154984200002218,12.719432300000335,4.395925299999362,5.97577
34,4.281247099999746,4.710048000000825,4.169232100000954,10.19223879999845,4.560458299998572,5.582645
35,4.485803699997632,4.194133000000875,4.230953199999931,4.343260300000111,4.341427499999554,4.319116
36,4.565811000000394,4.189896099996986,4.12899070000276,11.295456100000592,4.335980399999244,5.703227
37,4.30606390000321,4.340155399997457,4.276541899998847,12.613568699998723,4.313450400000875,5.969956
38,4.726024999999936,4.296849500002281,4.308627499998693,12.820045599997684,8.18887999999788,6.868086
39,4.647414700000809,4.152773999998317,4.328319500000362,12.519370099998923,8.646771600000648,6.85893
40,4.347364400000515,4.224014300001727,4.308423300000868,7.928746699999465,6.764838300001429,5.514677
41,4.736317299997609,4.294208300001628,4.298779500000819,12.956816000001709,4.911825999999564,6.239589
42,4.433594099999027,4.304769700000179,4.288841100002173,11.576752200002375,4.766763499999797,5.874144
43,4.7880815000025905,4.326177399998414,4.254828400000406,4.252739300001849,4.730873699998483,4.47054
44,4.843053100001271,4.325499899998249,4.275619000000006,4.362909199997375,4.52751310000167,4.466919
45,4.7763320000012754,4.308135100000072,4.25779280000279,4.3072164000004705,4.519641200000478,4.433824
46,4.531968200000847,4.51647039999807,4.270833399998082,4.3085347000014735,4.826679199999489,4.490897
47,4.473742199999833,4.29157430000123,4.328532300001825,4.307467999999062,4.67779850000079,4.415823
48,4.628131100002065,4.319363499998872,4.2936453000002075,4.300140700001066,4.549601099999563,4.418176
49,4.868993000000046,4.2828702999977395,4.272188700000697,4.296512500000972,4.542053699999087,4.452524
50,4.675028099998599,4.342825700001413,4.268312700001843,4.3058340000025055,4.721165400002064,4.462633
51,4.706763100002718,4.285072400001809,4.316040900001099,4.288667299999361,4.79463240000041,4.478235
52,5.024274800001876,4.2950028000013845,4.299603399998887,4.287098799999512,4.745408800001314,4.530278
53,5.2944607000026735,4.29128060000221,4.240464899998187,4.400817599998845,4.767881199997646,4.598981
