S,Comparisons
1,18674306
2,18674306
3,18674301
4,18727910
5,18727910
6,18727910
7,18820936
8,19071736
9,19071736
10,19071736
11,19071736
12,19071736
13,19071736
14,19071736
15,19886879
16,20223356
17,20223356
18,20223356
19,20223356
20,20223356
21,20223356
22,20223356
23,20223356
24,20223356
25,20223356
26,20223356
27,20223356
28,20223356
29,20223356
30,21599125
31,23185955
32,23185955
33,23185955
34,23185955
35,23185955
36,23185955
37,23185955
38,23185955
39,23185955
40,23185955
41,23185955
42,23185955
43,23185955
44,23185955
45,23185955
46,23185955
47,23185955
48,23185955
49,23185955
50,23185955
51,23185955
52,23185955
53,23185955
54,23185955
55,23185955
56,23185955
57,23185955
58,23185955
59,23185955
60,23185955
61,29656003
62,29900984
63,29900984
64,29900984
65,29900984
66,29900984
67,29900984
68,29900984
69,29900984
70,29900984
71,29900984
72,29900984
73,29900984
74,29900984
75,29900984
76,29900984
77,29900984
78,29900984
79,29900984
80,29900984
81,29900984
82,29900984
83,29900984
84,29900984
85,29900984
86,29900984
87,29900984
88,29900984
89,29900984
90,29900984
91,29900984
92,29900984
93,29900984
94,29900984
95,29900984
96,29900984
97,29900984
98,29900984
99,29900984
100,29900984
